Task,Category
Edit the photos from my vacation,Creative & Hobbies
Perform a 5-minute plank,Health & Wellness
Go to bed by 10 PM,Health & Wellness
Play a new video game,Creative & Hobbies
Practice a new song on a guitar,Creative & Hobbies
Write a recommendation letter for a colleague,Social & Communication
Go for a hike and take photos,Creative & Hobbies
Take out the compost,Household & Errands
Organize a book club meeting,Social & Communication
Analyze competitor data,Work & Productivity
Create a new calendar event,Miscellaneous
Knit a scarf for a friend,Creative & Hobbies
Bake a loaf of sourdough bread,Creative & Hobbies
Lead a team stand-up meeting,Work & Productivity
Write a poem,Creative & Hobbies
Review flashcards for a biology test,Study & Learning
Dust the shelves,Household & Errands
Update my contact information on a website,Miscellaneous
Take a multivitamin,Health & Wellness
Go to the farmer's market for fresh produce,Health & Wellness
Try a new baking recipe,Creative & Hobbies
Write a recommendation letter for a colleague,Social & Communication
Write an essay on climate change,Study & Learning
Create a password list,Miscellaneous
Read up on car maintenance,Study & Learning
Prepare for a client presentation,Work & Productivity
Start a new watercolor painting,Creative & Hobbies
Write job descriptions for new hires,Work & Productivity
Write a thank-you note to a friend,Social & Communication
Take a dance class,Creative & Hobbies
Research home appliances,Miscellaneous
Take a warm bath,Health & Wellness
Review the periodic table of elements,Study & Learning
Empty the dishwasher,Household & Errands
Study a map of a new city,Study & Learning
Book travel for a business trip,Work & Productivity
Find a pet sitter,Miscellaneous
Proofread the company blog post,Work & Productivity
Read a book before bed,Health & Wellness
Renew software licenses,Work & Productivity
Meditate for 10 minutes,Health & Wellness
Do 15 minutes of yoga,Health & Wellness
Read chapter 5 of the machine learning textbook,Study & Learning
Make sure to stand up and stretch every hour,Health & Wellness
Prepare a quarterly performance review,Work & Productivity
Listen to a new podcast,Creative & Hobbies
Send an apology message to a friend,Social & Communication
Write a to-do list for the next day,Miscellaneous
Check in on a friend who moved away,Social & Communication
Read a biography,Creative & Hobbies
Design a new company logo,Work & Productivity
Go to the bank to deposit a check,Household & Errands
Listen to a podcast about quantum physics,Study & Learning
Attend a professional development seminar,Work & Productivity
Review lecture notes for the upcoming final,Study & Learning
Listen to an educational audiobook,Study & Learning
Record a video tutorial for a new software,Work & Productivity
Take out the trash and recycling,Household & Errands
Renew my insurance policy,Miscellaneous
Work on a scrapbooking project,Creative & Hobbies
Take a lost item to the police station,Miscellaneous
Write in a personal blog,Creative & Hobbies
Interview a candidate for a new position,Work & Productivity
Clean out the refrigerator,Household & Errands
Research new headphones to buy,Miscellaneous
Drink a glass of water every hour,Health & Wellness
Schedule an eye exam,Health & Wellness
Do a full-body stretch,Health & Wellness
Renew a gym membership,Miscellaneous
Put away clean laundry,Household & Errands
Study for the history exam,Study & Learning
Read a book about financial literacy,Study & Learning
Go to the bank to deposit a check,Household & Errands
Vacuum the living room carpet,Household & Errands
Listen to an audiobook,Creative & Hobbies
Send an email to a friend who is traveling,Social & Communication
Change the bed sheets,Household & Errands
Finish the assigned reading for the literature class,Study & Learning
Track daily calorie intake,Health & Wellness
Fill out a survey for a company,Miscellaneous
Conduct market research for a new product,Work & Productivity
Do a load of laundry,Household & Errands
Look up the opening hours of a store,Miscellaneous
Plan a dinner party with friends,Social & Communication
RSVP to a wedding invitation,Social & Communication
Plan a garden layout,Creative & Hobbies
Set up a new router,Miscellaneous
Schedule a meeting with the development team,Work & Productivity
Work on a scrapbooking project,Creative & Hobbies
Participate in a community forum online,Social & Communication
Learn a new song on the ukulele,Creative & Hobbies
Put away clean laundry,Household & Errands
Go for a 20-minute jog,Health & Wellness
Conduct market research for a new product,Work & Productivity
Change the batteries in the smoke detector,Household & Errands
Watch a series of TED talks,Study & Learning
Take a mental health day,Health & Wellness
Leave a positive review for a small business,Social & Communication
Clean the bathroom sink,Household & Errands
Renew my driver's license,Miscellaneous
Take a practice test for a certification,Study & Learning
Refill the hand soap dispensers,Household & Errands
Create a business proposal,Work & Productivity
Fill up the gas tank,Household & Errands
Vacuum the living room carpet,Household & Errands
Respond to team emails,Work & Productivity
Watch the online course on Python,Study & Learning
Attend a professional development seminar,Work & Productivity
RSVP to a wedding invitation,Social & Communication
Update the company website,Work & Productivity
Watch the online course on Python,Study & Learning
Work on a new sculpture,Creative & Hobbies
Plan a surprise party,Social & Communication
Schedule a therapy session,Health & Wellness
Take the recycling to the depot,Household & Errands
Perform a competitive analysis,Work & Productivity
Practice deep breathing exercises,Health & Wellness
Take the car for an oil change,Miscellaneous
Get cash from the ATM,Miscellaneous
Go to the gym for a workout,Health & Wellness
Perform a 5-minute plank,Health & Wellness
Water the houseplants,Household & Errands
Practice Spanish verbs for 30 minutes,Study & Learning
Write a project charter,Work & Productivity
Renew a gym membership,Miscellaneous
Renew my passport,Miscellaneous
Review lecture notes for the upcoming final,Study & Learning
Dust the shelves,Household & Errands
Research flights for an upcoming trip,Miscellaneous
Do a guided meditation session,Health & Wellness
Do a guided meditation session,Health & Wellness
Learn about the different types of clouds,Study & Learning
Leave a comment on a friend's photo,Social & Communication
Participate in a community forum online,Social & Communication
Paint a new canvas,Creative & Hobbies
Listen to a new podcast,Creative & Hobbies
Read a research paper on AI ethics,Study & Learning
Send out invoices to vendors,Work & Productivity
Brainstorm Q3 goals with the manager,Work & Productivity
Study a map of a new city,Study & Learning
Buy a birthday present for a friend,Miscellaneous
Work on a new sculpture,Creative & Hobbies
Do a puzzle,Creative & Hobbies
Plan a weekend getaway with a partner,Social & Communication
Read the new sci-fi book,Creative & Hobbies
Find a new phone case,Miscellaneous
Register for an event,Miscellaneous
Get 8 hours of sleep tonight,Health & Wellness
Iron clothes for the week,Household & Errands
Clean the toilet,Household & Errands
Catch up with a former coworker,Social & Communication
Cancel a subscription service,Miscellaneous
Play a board game with friends,Creative & Hobbies
Attend a spin class,Health & Wellness
Sweep the front porch,Household & Errands
Plan a charity event with friends,Social & Communication
Host a webinar,Work & Productivity
Complete the statistics homework,Study & Learning
Look for a new apartment,Miscellaneous
Complete a coding challenge on a platform,Study & Learning
Find a solution to a technical problem with the computer,Miscellaneous
Write a letter to a pen pal,Social & Communication
Research different types of investment strategies,Study & Learning
Host a webinar,Work & Productivity
Write a chapter for my novel,Creative & Hobbies
Schedule an annual physical with the doctor,Health & Wellness
Go to the farmer's market for fresh produce,Health & Wellness
Research new coding languages,Study & Learning
Go to a coffee shop with a friend,Social & Communication
Delegate tasks to a team member,Work & Productivity
Go for a long walk,Health & Wellness
Call Mom to say hi,Social & Communication
Look up a new recipe to try,Miscellaneous
Write a project charter,Work & Productivity
Complete a required training module,Work & Productivity
Watch a tutorial on video editing,Study & Learning
Organize the linen closet,Household & Errands
Lead a team stand-up meeting,Work & Productivity
Write a press release,Work & Productivity
Send an apology message to a friend,Social & Communication
Get a prescription refilled,Miscellaneous
Learn how to use a 3D printer,Study & Learning
Arrange a virtual game night,Social & Communication
Send an anniversary message,Social & Communication
Meet a neighbor for a walk,Social & Communication
Check the weather for the weekend,Miscellaneous
Listen to a new album,Creative & Hobbies
Practice an instrument for a recital,Study & Learning
Research new restaurants,Miscellaneous
Change the batteries in the remote control,Miscellaneous
Plan a group trip,Social & Communication
Fix the squeaky cabinet door,Miscellaneous
Finish a Sudoku puzzle,Creative & Hobbies
Find a lost item in the house,Miscellaneous
Review the periodic table of elements,Study & Learning
Call a relative on their birthday,Social & Communication
Archive old emails,Work & Productivity
Wash the car,Household & Errands
Perform a competitive analysis,Work & Productivity
Arrange a virtual game night,Social & Communication
Reply to all WhatsApp messages,Social & Communication
Host a family reunion,Social & Communication
Play a board game with friends,Creative & Hobbies
Find a new movie to watch,Miscellaneous
Plan a charity event with friends,Social & Communication
Design a t-shirt,Creative & Hobbies
Draft the monthly marketing report,Work & Productivity
Finish a Sudoku puzzle,Creative & Hobbies
Organize the pantry,Household & Errands
Wish a family member good luck on a test,Social & Communication
Update CRM with new client information,Work & Productivity
Onboard a new team member,Work & Productivity
Book a haircut appointment,Miscellaneous
Review security protocols,Work & Productivity
Do the weekly grocery shopping,Household & Errands
Listen to a new album,Creative & Hobbies
Set up a new database,Work & Productivity
Help a friend move,Social & Communication
Write a summary of the quarterly earnings report,Work & Productivity
Clean the windows,Household & Errands
Prepare the presentation for the client,Work & Productivity
Take out the compost,Household & Errands
Wish a family member good luck on a test,Social & Communication
Call Mom to say hi,Social & Communication
Create an employee handbook,Work & Productivity
Plan the next drawing for my portfolio,Creative & Hobbies
Learn to play a new board game,Study & Learning
Organize the linen closet,Household & Errands
Read up on current events,Study & Learning
Research new headphones to buy,Miscellaneous
Organize the spice rack,Household & Errands
Write an article for a trade magazine,Work & Productivity
Change the lightbulb in the hallway,Miscellaneous
Work on the new knitting project,Creative & Hobbies
Reply to comments on a social media post,Social & Communication
Write an email to my old professor,Social & Communication
Send a congratulatory message to a friend,Social & Communication
Take out the trash and recycling,Household & Errands
Finish the assigned reading for the literature class,Study & Learning
Iron clothes for the week,Household & Errands
Go to the bank to update my details,Miscellaneous
Research different types of investment strategies,Study & Learning
Water the houseplants,Household & Errands
Write down my morning routine,Miscellaneous
Learn to use a new software tool,Study & Learning
Go for a hike and take photos,Creative & Hobbies
Track daily calorie intake,Health & Wellness
Practice deep breathing exercises,Health & Wellness
Drink a cup of herbal tea,Health & Wellness
Finalize the sales pitch deck,Work & Productivity
Prepare breakfast smoothies for the week,Health & Wellness
Try a new healthy recipe,Health & Wellness
Create a new spreadsheet for tracking expenses,Work & Productivity
Take the recycling to the depot,Household & Errands
Help a friend move,Social & Communication
Clean out the refrigerator,Household & Errands
Clean the windows,Household & Errands
Organize my digital photos,Miscellaneous
Delegate tasks to a team member,Work & Productivity
Do a yoga class online,Health & Wellness
Drink a glass of water every hour,Health & Wellness
Update my resume,Miscellaneous
Learn a new card trick,Creative & Hobbies
Research and book a vacation,Miscellaneous
Prepare the annual report,Work & Productivity
Return a product to a store,Miscellaneous
Design a new company logo,Work & Productivity
Plan healthy meals for the week,Health & Wellness
Solve practice problems for the math quiz,Study & Learning
Take a practice test for a certification,Study & Learning
Sort through old clothes for donation,Household & Errands
Take the trash can to the curb,Household & Errands
Watch a classic movie,Creative & Hobbies
Try a new healthy recipe,Health & Wellness
Practice a magic trick,Creative & Hobbies
Schedule a dentist appointment,Health & Wellness
Organize the garage,Household & Errands
Learn how to use a 3D printer,Study & Learning
Do a quick workout at home,Health & Wellness
Arrange a plumber to fix the leak,Household & Errands
Send a funny meme to a group chat,Social & Communication
Plan a budget for the month,Miscellaneous
Develop a social media content calendar,Work & Productivity
Get my shoes repaired,Miscellaneous
Hydrate throughout the day,Health & Wellness
Organize files on the desktop,Work & Productivity
Cook a nutritious dinner,Health & Wellness
Create a password list,Miscellaneous
Replace the air filter in the HVAC unit,Household & Errands
Edit the photos from my vacation,Creative & Hobbies
Text Sarah about weekend plans,Social & Communication
Update project timeline on Asana,Work & Productivity
Do a full-body stretch,Health & Wellness
Go birdwatching,Creative & Hobbies
Pay the electricity bill online,Household & Errands
Change the batteries in the smoke detector,Household & Errands
Empty the dishwasher,Household & Errands
Record a video tutorial for a new software,Work & Productivity
Shovel snow from the walkway,Household & Errands
Design a t-shirt,Creative & Hobbies
Play a new video game,Creative & Hobbies
Listen to an educational audiobook,Study & Learning
Organize the garage,Household & Errands
Practice positive affirmations,Health & Wellness
Pick up dry cleaning,Household & Errands
Sort through my junk drawer,Miscellaneous
Update my contact information on a website,Miscellaneous
Pick up dry cleaning,Household & Errands
Complete a coding challenge on a platform,Study & Learning
Reply to all WhatsApp messages,Social & Communication
Practice photography,Creative & Hobbies
Unsubscribe from promotional emails,Miscellaneous
Mop the floors,Household & Errands
Organize my digital photos,Miscellaneous
Listen to a podcast about quantum physics,Study & Learning
Write an email to my old professor,Social & Communication
Start a new journaling habit,Creative & Hobbies
Set up a new database,Work & Productivity
Go to bed by 10 PM,Health & Wellness
Practice speaking a new language with an app,Study & Learning
Draft the monthly marketing report,Work & Productivity
Do the weekly grocery shopping,Household & Errands
Read a book about financial literacy,Study & Learning
Organize my email inbox,Miscellaneous
Organize a company event,Work & Productivity
Write an internal memo,Work & Productivity
Work on a craft project with the kids,Creative & Hobbies
Practice mental math exercises,Study & Learning
Prepare a healthy lunch for the week,Health & Wellness
Watch a tutorial on video editing,Study & Learning
Find a good restaurant for dinner tonight,Miscellaneous
Work on a craft project with the kids,Creative & Hobbies
Review budget for the next quarter,Work & Productivity
Schedule an eye exam,Health & Wellness
Do some light stretching in the morning,Health & Wellness
Sort through old clothes for donation,Household & Errands
Repair a broken chair,Household & Errands
Fix the squeaky cabinet door,Miscellaneous
Sort through mail,Miscellaneous
Practice an instrument for a recital,Study & Learning
Onboard a new team member,Work & Productivity
Practice calligraphy,Study & Learning
Take a multivitamin,Health & Wellness
